,restaurant_id,restaurant_city,restaurant_zipcode,restaurant_province,pizza_id,pizza_price,pizza_name,pizza_description
27,AVwc_jdF_7pvs4fz1IZm,West Chester,19380,PA,27,,Pizza Bagel,with pepperoni & mushroom
28,AVwc_jdF_7pvs4fz1IZm,West Chester,19380,PA,28,2.59,Pizza Bagel (plain),
29,AVwc_jdF_7pvs4fz1IZm,West Chester,19380,PA,29,3.29,Pizza Bagel With Mushroom,
30,AVwc_jdF_7pvs4fz1IZm,West Chester,19380,PA,30,3.29,Pizza Bagel With Pepperoni,
31,AVwc_jdF_7pvs4fz1IZm,West Chester,19380,PA,31,3.59,Pizza Bagel With Pepperoni and Mushroom,
32,AVwc_JnXIN2L1WUfrB0m,San Jose,95123,CA,32,,Pizza Con Formaggio,
33,AVwc_KyeIN2L1WUfrB_N,Menifee,92584,CA,33,8.99,Bbq Chicken Pizza,"BBQ Sauce, Mozzarella Cheese, diced Chicken Breast, Onions"
34,AVwc_KyeIN2L1WUfrB_N,Menifee,92584,CA,34,8.99,Breakfast Pizza,
35,AVwc_KyeIN2L1WUfrB_N,Menifee,92584,CA,35,8.99,Cadillac Pizza,
36,AVwc_KyeIN2L1WUfrB_N,Menifee,92584,CA,36,8.99,Hawaiin Pizza,
37,AVwc_KyeIN2L1WUfrB_N,Menifee,92584,CA,37,8.99,Pesto Chicken Pizza,
38,AVwc_KyeIN2L1WUfrB_N,Menifee,92584,CA,38,4.59,Pizza Bread,
39,AVwc_KyeIN2L1WUfrB_N,Menifee,92584,CA,39,8.99,Southwest Pizza,
40,AVwc_KyeIN2L1WUfrB_N,Menifee,92584,CA,40,8.99,Thai Chicken Pizza,
41,AVwc_KyeIN2L1WUfrB_N,Menifee,92584,CA,41,8.99,Vegetarian Pizza,
42,AVwc_odFIN2L1WUfrHAb,Grand Prairie,75052,TX,42,,Bbq Pizza,
43,AVwc_odFIN2L1WUfrHAb,Grand Prairie,75052,TX,43,,Create Your Own Pizza,
44,AVwc_oTMIN2L1WUfrG-p,Wausau,54401,WI,44,4.99,Pizza,"Pepperoni, marinara, garlic, seasoning and parmesan cheese"
45,AVwc_VAb_7pvs4fz1F-Z,Wilmington,19806,DE,45,12.0,Tuna Pizza,
46,AVwc_VAb_7pvs4fz1F-Z,Wilmington,19806,DE,46,12.0,Tuna Pizza,
47,AVwc_XoZ_7pvs4fz1Gdd,Pickens,29671,SC,47,2.99,Small Pepperoni or Cheese Pizza,
48,AVwc05XuByjofQCxinyc,Arnold,63010,MO,48,,Bbq Chicken Pizza,
49,AVwc05XuByjofQCxinyc,Arnold,63010,MO,49,,Cheese Pizza,
50,AVwc05XuByjofQCxinyc,Arnold,63010,MO,50,,Deluxe Pizza,
51,AVwc05XuByjofQCxinyc,Arnold,63010,MO,51,,Meat Pizza,
52,AVwc05XuByjofQCxinyc,Arnold,63010,MO,52,,Vegetable Pizza,
53,AVwc0a6lkufWRAb5zWvc,Tracy,95304,CA,53,,Cheesy Bread Pizza (full),
54,AVwc0Be1kufWRAb5zSVB,Pasadena,77506,TX,54,8.0,3 Meat Treat Pizza,"Our original round pizza topped with pepperoni, sausage and bacon."
55,AVwc0Be1kufWRAb5zSVB,Pasadena,77506,TX,55,7.0,Deep Dish Pizza,
56,AVwc0Be1kufWRAb5zSVB,Pasadena,77506,TX,56,9.0,Ultimate Supreme Pizza,"Our original round pizza topped with pepperoni, Italian sausage, mushroom, onion, and green pepper."
57,AVwc0cXJkufWRAb5zW_a,Henderson,89052,NV,57,16.99,Garden Pizza,"Broccoli, spinach, peppers and mushrooms"
58,AVwc0cXJkufWRAb5zW_a,Henderson,89052,NV,58,15.99,Margarita Pizza,
59,AVwc0cXJkufWRAb5zW_a,Henderson,89052,NV,59,17.99,Supreme Pizza,"Sausage, pepperoni, meatballs, peppers, onions, black olives, mushrooms"
60,AVwc0cXJkufWRAb5zW_a,Henderson,89052,NV,60,13.99,White Pizza,"Fresh mozzarella, fresh parmesan and fresh garlic"
61,AVwc0fCOkufWRAb5zXXa,Kent,98031,WA,61,1.75,Pizza Toppings,"Italian pepperoni, hot italian sausage, fresh ground western beef, cob smoked bacon, marinated chicken breast, new england baked ham anchovy filets, fresh plum tomatoes, freshly cut broccoli, fresh white mushrooms, fresh green spinach, freshly sliced eggplant, freshly sliced red onions, freshly sliced green peppers, marinated sun dried tomatoes, sliced jalapeno peppers, roasted red peppers, freshly chopped garlic, california black olives, sweet hawaiian pineapple, marinated artichoke hearts, scrambled eggs new, italian gorgonzola cheese, greek feta cheese, vegan soy cheese, grated parmesan cheese, flavorful four cheese blend"
62,AVwc0jboByjofQCxijqT,Laconia,3246,Weirs Beach,62,15.0,Pizza,
63,AVwc0N-0ByjofQCxif90,Southlake,76092,TX,63,8.95,Sausage Onion Jam Pizza,"Boursin, mozzarella, arugula, parmesan"
64,AVwc0q64kufWRAb5zZhU,College Station,77845,TX,64,13.99,Cheese Pizza,
65,AVwc0q64kufWRAb5zZhU,College Station,77845,TX,65,3.99,Chocolate Chip Pizza,
66,AVwc0thDkufWRAb5zaBV,Omaha,68154,NE,66,,B.l.t. Pizza,"Bacon , lettuce, tomato, mayo, ranch"
67,AVwc0thDkufWRAb5zaBV,Omaha,68154,NE,67,,Bbq Chicken Pizza,"Bbq sauce, chicken, red onions"
68,AVwc0thDkufWRAb5zaBV,Omaha,68154,NE,68,,Buffalo Chicken Pizza,"Hot sauce, chicken, ranch dressing,  blue cheese"
69,AVwc0thDkufWRAb5zaBV,Omaha,68154,NE,69,,Margherita Pizza,Fresh mozzarella and basil
70,AVwc0thDkufWRAb5zaBV,Omaha,68154,NE,70,16.24,White Pizza,"Mozzarella, ricotta, garlic, no sauce"
71,AVwc0UfGkufWRAb5zVuE,Addison,60101,IL,71,6.7,Cheese Pizzarito,"Our backed light crust, stuffed and folded with our freshest ingredients, basted with garlic butter, sprinkled with romano cheese and parsley"
72,AVwc0UfGkufWRAb5zVuE,Addison,60101,IL,72,2.76,Pizza Slices,Served all day
73,AVwc0vdZkufWRAb5zaZ_,Arvada,80004,CO,73,7.99,Pizza Dough Balls,
74,AVwc0vdZkufWRAb5zaZ_,Arvada,80004,CO,74,7.99,Pizza Dough Flats,
75,AVwc0Wtp_7pvs4fzzSbm,Westminster,21157,MD,75,9.0,Margherita Pizza,
76,AVwc-0zw_7pvs4fz1AjD,Hermosa Beach,90254,CA,76,9.75,Build Your Own Pizza,
77,AVwc-0zw_7pvs4fz1AjD,Hermosa Beach,90254,CA,77,11.5,Build Your Own Pizza,
78,AVwc-0zw_7pvs4fz1AjD,Hermosa Beach,90254,CA,78,3.0,Cheese Pizza,
79,AVwc14fe_7pvs4fzzh-i,Luzerne,18709,PA,79,13.95,Chicken Wing Pizza,Mild or hot
80,AVwc14fe_7pvs4fzzh-i,Luzerne,18709,PA,80,9.95,Neapolitan Style Pizza,
81,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,81,19.95,Blt Pizza,
82,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,82,11.95,Cheese Pizza,
83,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,83,11.95,Cheese Pizza,Classic cheese or create your own pizza.
84,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,84,2.0,Cheese Pizza Slice,
85,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,85,22.95,Cheesesteak Stuffed Cheese Pizza,
86,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,86,22.95,Cheesesteak Stuffed Cheese Pizza,With beef or chicken in double crust pizza.
87,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,87,19.95,Chicken Alfredo Pizza,
88,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,88,19.95,Chicken Parmigiana Pizza,
89,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,89,19.95,Chicken Wing Pizza,
90,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,90,19.95,Chicken Wing Pizza,"Hot sauce, celery, grilled chicken and bleu cheese."
91,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,91,15.95,Margherita Pizza,
92,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,92,15.95,Margherita Pizza,Brooklyn style. Square thick pan pizza.
93,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,93,15.95,Old Fashion Pizza,
94,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,94,15.95,Old Fashion Pizza,No cheese on it. Square thick pan pizza.
95,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,95,12.95,Old Fashion Tomato Pizza,
96,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,96,12.95,Old Fashion Tomato Pizza,No cheese.
97,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,97,4.25,Pizza Fries,
98,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,98,7.25,Pizza Steak Sub,
99,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,99,19.95,Rancher Pizza,
100,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,100,19.95,Rancher Pizza,"Bacon, chicken, green peppers, chopped tomatoes and cheddar cheese."
101,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,101,15.95,Sicilian Pizza,
102,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,102,15.95,Sicilian Pizza,Classic cheese or create your own square thick pan sicilian pizza.
103,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,103,19.95,Taco Pizza,
104,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,104,19.95,Taco Pizza,"Lettuce, tomatoes, ground beef and cheddar cheese."
105,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,105,14.95,Trenton Tomato Pizza,
106,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,106,14.95,Trenton Tomato Pizza,"Cheese on bottom, plum tomatoes on top."
107,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,107,11.95,White Pizza,
108,AVwc16D3_7pvs4fzziP1,Lawrence Township,8648,Lawrenceville,108,11.95,White Pizza,Classic cheese or create your own pizza.
109,AVwc1bNU_7pvs4fzzdxk,Saint Louis,63105,MO,109,5.0,Cheese Pizza,
110,AVwc1hsuByjofQCxiucq,Endicott,13760,Crestview Heights,110,9.5,Pizza,
111,AVwc1hsuByjofQCxiucq,Endicott,13760,Crestview Heights,111,,Pizza Skins,
112,AVwc1Kgv_7pvs4fzzbFW,Sturbridge,1566,MA,112,5.99,Half Pizzas,
113,AVwc1Kgv_7pvs4fzzbFW,Sturbridge,1566,MA,113,,M.y.o.p Make Your Own Pizza,
114,AVwc1Kgv_7pvs4fzzbFW,Sturbridge,1566,MA,114,,Make Your Own Pizza,
115,AVwc1Kgv_7pvs4fzzbFW,Sturbridge,1566,MA,115,2.99,Mini Cheese and Tomato Deep Dish Pizza,
116,AVwc1Kgv_7pvs4fzzbFW,Sturbridge,1566,MA,116,2.99,Mini Cheese or Pepperoni Thin Crust Pizza,
117,AVwc1Kgv_7pvs4fzzbFW,Sturbridge,1566,MA,117,8.99,Pizza of The Day,
118,AVwc1Kgv_7pvs4fzzbFW,Sturbridge,1566,MA,118,2.99,Pizza Skins,"Deep dish crust filled with red bliss mashed potatoes. topped with bacon, cheddar and sour cream"
119,AVwc1Kgv_7pvs4fzzbFW,Sturbridge,1566,MA,119,,Thin Crust or Deep Dish Pizza,Cheese or pepperoni
120,AVwc1RaoByjofQCxirt7,Cedar Park,78613,TX,120,5.99,Cheese Pizza,
121,AVwc1RaoByjofQCxirt7,Cedar Park,78613,TX,121,3.99,Chocolate Chip Pizza,
122,AVwc1VcqIN2L1WUfpZes,Hernando,38632,MS,122,7.0,Byo Pizza,
123,AVwc1VcqIN2L1WUfpZes,Hernando,38632,MS,123,4.75,Cheese Pizza,
124,AVwc1VcqIN2L1WUfpZes,Hernando,38632,MS,124,4.75,Pepperoni Pizza,
125,AVwc25M7IN2L1WUfpqEk,Fairfield,6825,CT,125,7.99,Cheese Pizza,
126,AVwc25M7IN2L1WUfpqEk,Fairfield,6825,CT,126,10.99,Rollatini Pizza,"Breaded eggplant, ricotta cheese, basil, tomato sauce and fresh mozzarella"
127,AVwc27HDkufWRAb5zwY7,Gainesville,32605,FL,127,4.25,Pizza Sub,
128,AVwc27NXIN2L1WUfpqbZ,Pine Plains,12567,Mount Ross,128,,Pizza of The Day,priced accordingly
129,AVwc2gQxIN2L1WUfpl0w,Loveland,45140,Murdock,129,4.39,Kids Size Pizza,
130,AVwc2kmvByjofQCxi5bi,Staten Island,10304,NY,130,,Brick Oven Pizza Al Metro,
131,AVwc2kmvByjofQCxi5bi,Staten Island,10304,NY,131,,Fried Pizza,
132,AVwc2kmvByjofQCxi5bi,Staten Island,10304,NY,132,,Pork Tenderloin Pizzaiola,
133,AVwc2m9xByjofQCxi539,Osseo,55369,Hassan,133,,Cheese Pizza,
134,AVwc2m9xByjofQCxi539,Osseo,55369,Hassan,134,,Pepperoni Pizza,
135,AVwc2pwhIN2L1WUfpnhr,Spokane,99216,City Of Spokane Valley,135,10.75,Eggscellent Pizza (white),
136,AVwc2Tg1kufWRAb5zp-U,Santa Cruz,95062,CA,136,5.99,Mini Pizza,
137,AVwc34__kufWRAb5z7Y4,Olathe,66062,KS,137,8.79,Artichoke Chicken Pizza,"Creamy artichoke spinach sauce, featuring bacon, is topped with sliced chicken breast, fresh tomatoes, artichokes, mozzarella and cheddar cheese."
138,AVwc34__kufWRAb5z7Y4,Olathe,66062,KS,138,8.79,Barbecue Chicken Pizza,"Sweet bbq sauce topped with bbq chicken breast, bacon, red onions and mozzarella and gouda cheeses. garnished with cilantro and crispy onions."
139,AVwc34__kufWRAb5z7Y4,Olathe,66062,KS,139,8.99,California Pizza,"Alfredo sauce, sliced grilled chicken breast, bacon, fresh mushrooms, spinach and roma tomatoes. topped with mozzarella and smoked gouda cheeses."
140,AVwc34__kufWRAb5z7Y4,Olathe,66062,KS,140,8.79,Chicken Club Pizza,"Homestyle tomato sauce, sliced chicken breast,   bacon and fresh roma tomatoes topped with smoked   provolone, mozzarella and cheddar cheeses."
141,AVwc34__kufWRAb5z7Y4,Olathe,66062,KS,141,8.79,Margherita Pizza,
142,AVwc34__kufWRAb5z7Y4,Olathe,66062,KS,142,8.79,Pepperoni Pizza,
143,AVwc34__kufWRAb5z7Y4,Olathe,66062,KS,143,8.59,Pizza Mia,Create your own specialty pizza from any of our sauces and 3 toppings.
144,AVwc3aeMByjofQCxjCq0,Bloomfield,7003,Grove,144,17.0,Cheese Steak Pizza,
145,AVwc3aeMByjofQCxjCq0,Bloomfield,7003,Grove,145,17.0,Chicken Parmesan Pizza,
146,AVwc3aeMByjofQCxjCq0,Bloomfield,7003,Grove,146,5.0,Personal Pizza,
147,AVwc3aeMByjofQCxjCq0,Bloomfield,7003,Grove,147,15.0,Vodka Sauce Pizza,
148,AVwc3jFckufWRAb5z3fQ,Laguna Niguel,92677,CA,148,2.95,Pizza Bagel,
149,AVwc3nAeByjofQCxjEy_,Newark,19713,DE,149,2.5,Chinese Pizza,
150,AVwc3Un__7pvs4fzzxjW,Barboursville,25504,WV,150,6.99,Personal Pizza,"With two toppings, sauce and mozzarella."
151,AVwc3Un__7pvs4fzzxjW,Barboursville,25504,WV,151,5.99,Pizza Bread,
152,AVwc3UrlByjofQCxjByp,Fairbanks,99709,AK,152,,House Made Pizza,
153,AVwc3wjg_7pvs4fzz2ft,Americus,31709,GA,153,3.75,Mexican Pizza,Flour tortilla topped with cheese sauce and ground beef
154,AVwc43w3_7pvs4fz0CU6,Providence,2904,No Providence,154,4.95,Pizza Combo,
155,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,155,13.95,Bbq Chicken Pizza,"BBQ sauce, grilled chicken breast, cheddar and mozzarella."
156,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,156,,Bbq Chicken Pizza,"BBQ sauce, grilled chicken breast, cheddar and mozzarella."
157,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,157,13.95,Buffalo Chicken Pizza,"Buffalo sauce, grilled chicken, mozzarella and cheddar cheese."
158,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,158,14.95,Californian Pizza,
159,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,159,13.95,Cheese Steak Pizza,"Philly steak, green peppers, mushrooms, onions, provolone and mozzarella."
160,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,160,13.95,Greek Pizza,"Gyro meat, ground beef, salami, black olives, green peppers, onions, tomato, feta and mozzarella cheese."
161,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,161,14.95,Italiano Pizza,
162,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,162,13.95,Margherita Pizza,"Fresh basil, rich tomato sauce and fresh mozzarella cheese."
163,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,163,14.95,Mediterranean Pizza,"Chicken breast, artichokes, black olives, basil, feta and mozzarella cheese."
164,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,164,14.95,Monte Carlo Pizza (white),"Chicken breast, portabella mushrooms, broccoli, olive oil, basil, ricotta and mozzarella cheese."
165,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,165,5.95,Pizza Burger,
166,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,166,4.95,Pizza Fries,
167,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,167,5.95,Pizza Steak,
168,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,168,5.95,Pizza Sub,
169,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,169,14.95,Seafood Pizza,
170,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,170,14.95,Sicilian Pizza,"Genoa salami, spicy capricolla and bacon with a blend of mozzarella, cheddar and rich tomato sauce."
171,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,171,4.95,Two Slices of Cheese Pizza,With juice or 12oz soda
172,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,172,,Two Slices of Cheese Pizza,With juice or 12oz soda
173,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,173,13.95,Veggie Lovers Pizza,"Green and banana peppers, onions, mushrooms, black olives and tomatoes."
174,AVwc44_SIN2L1WUfp_mh,Cockeysville,21030,MD,174,12.95,White Pizza,"Garlic sauce, spinach, ricotta and mozzarella."
175,AVwc448WByjofQCxjSV8,Westminster,21157,MD,175,,Mexican Pizza,"Beef, chicken or bean"
176,AVwc456i_7pvs4fz0CsA,Urbana,61801,IL,176,,Pita Pizza,"Red Onion, Mushroom, Spinach, Tomato, Marinara, Mozzarella, Romano served with a Garden Salad"
177,AVwc4COFByjofQCxjJKL,Phoenix,85044,AZ,177,15.99,Pizza Mexicana,"Mozzarella and cheddar, chorizo, red onion and jalapenos."
178,AVwc4h72IN2L1WUfp7gx,Minneapolis,55447,MN,178,,Greek Pizza,
179,AVwc4h72IN2L1WUfp7gx,Minneapolis,55447,MN,179,,White Pizza,
180,AVwc4K2kByjofQCxjKiF,Arvada,80007,CO,180,12.0,White Pizza,
181,AVwc4kJVkufWRAb50CEu,Maitland,32751,FL,181,18.5,Pizza Blanca,
182,AVwc4kJVkufWRAb50CEu,Maitland,32751,FL,182,17.45,Pizza Bomba,
183,AVwc4kJVkufWRAb50CEu,Maitland,32751,FL,183,13.95,Pizza Margherita,
184,AVwc4q0VByjofQCxjPsk,Shelton,6484,CT,184,5.25,Chicken Pizza,"Breaded chicken with 2 ounces of pepperoni, melted provolone topped with marinara sauce"
185,AVwc4s7NIN2L1WUfp9WM,Massapequa Park,11762,NY,185,20.5,Spicy Buffalo Pizza,
186,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,186,14.95,Baked Ziti Pizza,
187,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,187,12.75,Capelli Pizza,
188,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,188,14.95,Cheesesteak Pizza,
189,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,189,14.95,Chicken Parmigiana Pizza,"Fried chicken, mozzarella and tomato sauce"
190,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,190,14.25,Grandma Pizza,"Fresh mozzarella, plum tomatoes and basil"
191,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,191,14.95,Hawaiian Pizza,Ham and pineapple
192,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,192,19.99,Large Pizza and Mussels,
193,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,193,16.99,Large Pizza Cheese,Pepperoni and Sausage and 2 Liter Soda
194,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,194,37.99,Order 3 Large Pizzas and Get The 4th Pizza Free,
195,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,195,14.95,Primavera Pizza,
196,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,196,14.95,Vegetarian Pizza,"Broccoli, spinach, peppers and mushrooms"
197,AVwc59P_ByjofQCxjeDD,Saddle Brook,7663,NJ,197,12.0,White Pizza,
198,AVwc5BzoIN2L1WUfqBM0,Philadelphia,19147,PA,198,8.95,Pizza Burger,
199,AVwc5BzoIN2L1WUfqBM0,Philadelphia,19147,PA,199,3.5,Pizza Fries,
200,AVwc5BzoIN2L1WUfqBM0,Philadelphia,19147,PA,200,7.25,Pizza Steak,With our homemade sauce
201,AVwc5D0MkufWRAb50IDr,Southaven,38671,MS,201,2.99,Pizza Bread,
202,AVwc5ecckufWRAb50Mcp,Essex,21221,MD,202,12.99,Greek Pizza,
203,AVwc5ecckufWRAb50Mcp,Essex,21221,MD,203,3.49,Pizza Bites,
204,AVwc5ecckufWRAb50Mcp,Essex,21221,MD,204,5.5,Pizza Burger,
205,AVwc5ecckufWRAb50Mcp,Essex,21221,MD,205,3.99,Pizza Fries,
206,AVwc5ecckufWRAb50Mcp,Essex,21221,MD,206,5.5,Pizza Steak,
207,AVwc5ecckufWRAb50Mcp,Essex,21221,MD,207,5.5,Pizza Sub,
208,AVwc5ecckufWRAb50Mcp,Essex,21221,MD,208,12.99,Steak Pizza,
209,AVwc5ecckufWRAb50Mcp,Essex,21221,MD,209,7.99,White Pizza,Greek style pizza
210,AVwc5G5ZIN2L1WUfqCC4,Redford,48239,MI,210,3.75,Pizza  Burger,
211,AVwc5G5ZIN2L1WUfqCC4,Redford,48239,MI,211,3.75,Pizza Fries,
212,AVwc5HZpIN2L1WUfqCID,White Lake,48383,MI,212,11.99,8 Corner Pizza,
213,AVwc5HZpIN2L1WUfqCID,White Lake,48383,MI,213,5.99,Pizza,
214,AVwc5m1hIN2L1WUfqHmO,Quincy,2169,Quincy Center,214,,Meat Lovers Pizza,"Pepperoni, sausage, bacon, meatball and cheese."
215,AVwc5sNskufWRAb50PBR,Indianapolis,46237,IN,215,1.42,Cheese Pizza,
216,AVwc5sNskufWRAb50PBR,Indianapolis,46237,IN,216,18.76,Gourmet Chicken Ranch Pizza,
217,AVwc5sNskufWRAb50PBR,Indianapolis,46237,IN,217,19.22,Gourmet Meat Pizzatm,
218,AVwc5sNskufWRAb50PBR,Indianapolis,46237,IN,218,7.99,Mexico City Grill Pizza,"Your choice of shredded chicken, chorizo or Angus ground beef stuffed into two flat crisp tortillas. Covered with melted queso cheese and topped with pico de gallo."
219,AVwc5sNskufWRAb50PBR,Indianapolis,46237,IN,219,5.99,Mexico City Pizza,"Shredded chicken, chorizo or Angus ground beef stuffed into two flat crisp tortillas. Covered with melted queso cheese and topped with pico de gallo."
220,AVwc5sNskufWRAb50PBR,Indianapolis,46237,IN,220,18.35,White Pizza,
221,AVwc5unF_7pvs4fz0LxW,Harvey,70058,LA,221,5.49,Pizza,"Pepperoni in marinara sauce, mozzarella cheese, chives"
222,AVwc5VRRkufWRAb50K9t,Denver,80203,CO,222,1.2,Pizza Roll,
223,AVwc6fhKIN2L1WUfqRWU,Findlay,45840,OH,223,8.75,Berlin Pizza,"Corned beef, 1000 island, sauerkraut, red onion"
